Наименование аэропорта РФ;Год периода данных;Январь;Февраль;Март;Апрель;Май;Июнь;Июль;Август;Сентябрь;Октябрь;Ноябрь;Декабрь;Январь - Декабрь
Чара;2016;***;***;***;***;***;***;***;***;***;***;***;***;***
Чебоксары;2016;***;***;***;***;***;***;***;***;***;***;***;***;***
Чегдомын;2016;***;***;***;***;***;***;***;***;***;***;***;***;***
Челябинск(Баландино);2016;159;205;222,57;210,14;257,73;216,65;215,46;235,12;232,37;233,95;255,14;339,62;2782,75
Череповец;2016;***;***;***;***;***;***;***;***;***;***;***;***;***
Черский;2016;***;***;***;***;***;***;***;***;***;***;***;***;***
Чижа;2016;***;***;***;***;***;***;***;***;***;***;***;***;***
Чита(Кадала);2016;141,03;142,33;255,1;248,29;223,69;242,66;227,09;331,84;315,08;322,28;319,33;331,61;3100,33
Чокурдах;2016;***;***;***;***;***;***;***;***;***;***;***;***;***
Чумикан;2016;***;***;***;***;***;***;***;***;***;***;***;***;***
Шарыпово;2016;***;***;***;***;***;***;***;***;***;***;***;***;***
Шахтерск;2016;***;***;***;***;***;***;***;***;***;***;***;***;***
Шойна;2016;***;***;***;***;***;***;***;***;***;***;***;***;***
Шушенское;2016;***;***;***;***;***;***;***;***;***;***;***;***;***
Эгвекинот(Залив Креста);2016;***;***;***;***;***;***;***;***;***;***;***;***;***
Экимчан;2016;***;***;***;***;***;***;***;***;***;***;***;***;***
Элиста;2016;***;***;***;***;***;***;***;***;***;***;***;***;***
Эссо;2016;***;***;***;***;***;***;***;***;***;***;***;***;***
Южно-Курильск(Менделеево);2016;***;***;***;***;***;***;***;***;***;***;***;***;***
Южно-Сахалинск(Хомутово);2016;559,97;725,76;777,57;700,44;853,22;918,31;970,06;933,62;1125,51;1003,01;893,19;1098,37;10559,03
Якутск;2016;431,34;488,02;608,62;711;658,81;1095,11;1063,01;1089,35;1115,35;1067,79;1211,02;1506,75;11046,17
Якутск(Маган);2016;***;***;***;***;***;***;***;***;***;***;***;***;***
Ямбург;2016;0,45;1,96;0,63;0,07;0,02;0,28;0,05;0,03;31,89;0,1;0,08;0;35,56
Ярославль(Туношна);2016;288,54;291,42;317,44;216,73;386,12;469,4;257,13;195,59;539,52;221,29;372,3;232,7;3788,18
Ярцево;2016;***;***;***;***;***;***;***;***;***;***;***;***;***
Абакан;2015;37,7;47,97;54,67;82,12;68,81;112,95;55,83;95,2;137,79;72,13;63,67;78,3;907,14
Айхал;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Алдан;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Амдерма;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Анадырь;2015;124,31;254,19;340,37;286,06;156,55;124,95;89,05;72,29;118,16;92,89;158,39;316,94;2134,15
Анапа(Витязево);2015;26,6;40,72;38,34;37,63;41,13;59,91;87,38;90,45;66,83;19,27;49,03;55,99;613,28
Антипаюта;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Апатиты(Хибины);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Архангельск(Васьково);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Архангельск(Талаги);2015;99,6;121,7;148,3;226,2;234,5;154,6;132;120;131,3;168,6;350,7;410;2297,5
Астрахань(Нариманово);2015;49,75;102,42;66,88;81,49;72,11;67,3;75,39;73,78;79,89;81,41;70,98;96,17;917,57
Ачинск;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Аян;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Багдарин;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Байкит;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Барнаул(Имени Г.С.Титова);2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Батагай;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
Белая Гора;2015;***;***;***;***;***;***;***;***;***;***;***;***;***
