Наименование аэропорта РФ;Год периода данных;Январь;Февраль;Март;Апрель;Май;Июнь;Июль;Август;Сентябрь;Октябрь;Ноябрь;Декабрь;Январь - Декабрь
Печора;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Пионерный;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Пластун;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Подкаменная Тунгуска;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Полины Осипенко;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Полярный;2012;198,14;107,06;167,17;36,27;178,8;138,99;51,48;444,02;216,15;101,28;458,72;461,96;2560,04
Провидения(Провидения Бухта);2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Псков(Кресты);2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Рогачево(Амдерма-2);2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Ростов-на-Дону;2012;254,2;330,6;440,9;458,6;476,5;473,6;427,2;512,1;507,4;487,4;574,9;551,3;5494,7
Ростов-на-Дону(Платов);2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Сабетта;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Саккырыр;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Салехард;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Самара(Курумоч);2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Самара(Смышляевка);2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Сангар;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Санкт-Петербург(Пулково);2012;1501;1887;1952;1987;1924;1987;2134;2529;2378;2764;2574;3028;26645
Саранск;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Саратов(Центральный);2012;32;51,9;55,7;44,2;42,7;45,4;44,6;58,5;52,9;50,2;54,5;70,6;603,2
Саскылах;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Светлогорск;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Северо-Енисейский;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Северо-Эвенск;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Сеймчан;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Симферополь;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Снопа;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Соболево;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Советская Гавань;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Советский;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Соловки;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Сочи;2012;116;183;199;173;175;190;242;235;242;232;202;227;2416
Среднеколымск;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Ставрополь(Шпаковское);2012;56;68;82;78;70;78;78;81;86;88;89;111;965
Старый Оскол;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Стрежевой;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Сунтар;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Сургут;2012;227,1;329,5;339,7;363,3;371,1;346,9;346,6;396,1;363,4;413,5;394,6;466,5;4358,3
Сыктывкар;2012;55,47;58,99;71,37;61,84;77,43;71,39;67,37;68,72;65,96;69,96;79,55;103,65;851,7
Таганрог(Южный);2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Тазовский;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Таксимо;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Талакан;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Тамбов;2012;0;0;0;0;0;0;0;0;0;0;0;0;0
Тара;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Тарко-Сале;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Таштагол;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Тигиль;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Тикси;2012;8,6;43,5;11,1;65,8;25,4;19,5;14,3;40,3;15,2;8,7;12,2;50,3;314,9
Тиличики;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Тобольск;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Толька;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Томск(Богашево);2012;103;137;154;149;134;140;129;157;157;168;193;198;1819
Троицко-Печорск;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Тугур;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Тура(Горный);2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Туруханск;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Тында;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Тюмень(Плеханово);2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Тюмень(Рощино);2012;332,4;436,1;249,7;535,9;433,2;413,6;451;495,3;423,8;482,5;471,6;313,6;5038,7
Удское;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Улан-Удэ(Мухино);2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Ульяновск(Баратаевка);2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Ульяновск(Восточный);2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Урай;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Ургалан;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Уренгой;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Усинск;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Камчатск;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Кара;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Куйга;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Кут;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Мая;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Нера;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Хайрюзово;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Усть-Цильма;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Уфа;2012;189,02;232,29;273,03;286,97;291,61;291,49;255,25;273,64;280,69;310,96;301,95;382,08;3368,98
Ухта;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Хабаровск(МВЛ);2012;3,96;8,04;8,58;19,05;4,35;16,51;2,8;14,65;5,34;5,46;7,1;6,76;102,6
Хабаровск(Новый);2012;1137,9;1737,48;2054,28;2026,17;2093,02;1793,94;1782,64;2143,84;2695,63;3141,27;2355,8;2455,53;25417,5
Хандыга;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Ханты-Мансийск;2012;43,28;66,78;109,96;71,37;71,01;72,43;70,63;85,7;85,23;91,37;85,12;82,22;935,1
Харута;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Хатанга;2012;109,83;224,7;231,73;161,85;127,71;147,7;133,26;219,31;147,99;357,38;231,27;355,96;2448,69
Херпучи;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Хонуу(Мома);2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Хорей-Вер;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Чара;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Чебоксары;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Чегдомын;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Челябинск(Баландино);2012;160,82;219,5;237,97;240,83;244,39;226,93;238,62;300,29;238,15;251,75;233,26;310,37;2902,88
Череповец;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Черский;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Чижа;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Чита(Кадала);2012;101,08;155,52;212,41;164,91;163,27;150,48;153,72;187,64;212,33;213,38;181,53;221,8;2118,07
Чокурдах;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Чумикан;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Шарыпово;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Шахтерск;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Шойна;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Шушенское;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Эгвекинот(Залив Креста);2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Экимчан;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Элиста;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Эссо;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Южно-Курильск(Менделеево);2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Южно-Сахалинск(Хомутово);2012;662;960,8;1018;976,8;934,8;1400,1;1389,2;1450,1;1473,5;1230,3;1008,9;932,2;13436,7
Якутск;2012;505,43;715,16;829,73;901,31;910,23;1178;1094,29;1247,02;1036,27;1432,17;1435,8;1752,62;13038,03
Якутск(Маган);2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Ямбург;2012;2,8;2,37;1,65;2,51;3,11;5,58;5,22;3,39;2,94;5,15;4,91;7,3;46,93
Ярославль(Туношна);2012;805,1;1411,5;1320,1;1596,2;759,82;687,3;319,8;892,4;1007,3;1342,4;949;1558,59;12649,51
Ярцево;2012;***;***;***;***;***;***;***;***;***;***;***;***;***
Абакан;2011;53,3;59,4;162,4;72,4;90,1;92,1;81,3;73,2;77;84,3;91,17;124,56;1061,23
Айхал;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Алдан;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Амдерма;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Анадырь;2011;70;242;306;216;161;147;46;54;39;141;193;315;1930
Анапа(Витязево);2011;8,11;0;0;0;0;33,93;65,82;68,56;64,74;44,73;35,06;39,3;360,25
Антипаюта;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Апатиты(Хибины);2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Архангельск(Васьково);2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Архангельск(Талаги);2011;145,7;150,6;199,6;238,8;292,1;205,7;172,8;164,1;200,4;211,9;302,2;529,9;2813,8
Астрахань(Нариманово);2011;39,61;46,5;58,13;55,43;62,01;67,36;63,03;61,2;58,02;65,32;63,4;76,3;716,31
Ачинск;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Аян;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Багдарин;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Байкит;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Барнаул(Имени Г.С.Титова);2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Батагай;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Белая Гора;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Белгород;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Белоярский;2011;15,4;13,5;16,7;50,7;53,6;39;35,3;41;47,4;43;60;45,6;461,2
Белушье;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Березово;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
"Беринговский(Филиал ФКП ""А/П Чукотки"")";2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Бийск;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Благовещенск;2011;75;126,5;116,7;120,3;122,2;124,9;131,9;147,9;158,8;194,2;185,4;190,9;1694,7
Бованенково;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Богородское;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Богучаны;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Бодайбо;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Братск;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Брянск;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Бугульма;2011;4,13;3,61;3,82;3,42;2,9;4,55;6,17;5,5;5,75;3,53;4,42;0,9;48,7
Буревестник;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Ванавара;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Варандей;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Верхневилюйск;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Вижас;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Вилюйск;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Витим;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Владивосток(Кневичи);2011;1491,1;1663,5;1980,3;2099;2054,9;2165,2;3076,1;2397,1;2659,7;2781;2524,6;2760,3;27652,8
Владикавказ(Беслан);2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Владимир;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Волгоград(Гумрак);2011;40;67;73;67;52;60;65;73;70;62;61;91;781
Вологда;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Волоковая;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Воркута;2011;28,04;41,3;66,05;68,99;64,67;57,11;51,21;54,76;63,85;57,79;44,76;69,14;667,67
Воронеж(Чертовицкое);2011;15,63;17,37;18,58;14,24;15,48;16,08;22,94;19,35;18,25;18,87;26,47;26,31;229,57
Вуктыл;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Геленджик;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Горно-Алтайск;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Грозный(Северный);2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Гыда;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Дальнереченск;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Депутатский;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Диксон;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Дудинка;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Ейск;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Екатеринбург(Кольцово);2011;1373,59;1880,97;2069,45;1935,51;1999,75;1843,87;1959,98;2222,94;2252,8;2190,29;2048,9;2318,99;24097,04
Екатеринбург(Уктус);2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Елизово(Авачинский);2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Енисейск;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Ербогачен;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Жиганск;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Жуковский;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Залив Лаврентия(Лаврентия);2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Зея;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Зональное;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Зырянка;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Иваново(Южный);2011;30,3;0;20;148,68;0;44,2;113;0;327,75;130,96;130,96;56,65;1002,5
Игарка;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Игрим;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Ижевск;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Ижма;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Индига;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Инта;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Йошкар-Ола;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Иркутск;2011;724,85;703,6;771,55;961,81;952,57;952,58;1070,79;1057,02;949,85;920,71;1142,01;1370,81;11578,15
Кавалерово;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Казань;2011;161,15;206,84;482,4;412,27;414,3;424,14;482,72;522,94;561,8;771,11;659,2;723,43;5822,3
Казачинское(Казачинск);2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Калининград(Храброво);2011;225,33;287,07;323,13;287,1;294,6;285,45;241,55;294,41;354,88;376,75;407,11;450,45;3827,83
Калуга;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Каратайка;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Каргасок;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Кедровый;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Кемерово;2011;235,78;301,82;368,11;528,23;413,87;414,28;326,85;358,99;370,57;438,49;620,89;625,2;5003,08
Кепервеем;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Киренск;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Киров;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Когалым;2011;86,5;129,3;189,5;189,8;115,3;4,5;18,2;118,7;161,1;176,6;217;295,5;1702
Кодинск;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Колпашево;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Комсомольск-на-Амуре;2011;72,21;91,25;170,48;162,84;165,39;94,89;107,12;134,43;176,14;226,94;165,78;288,2;1855,67
Кондинское;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Коряки(Корякский);2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Кострома;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Коткино;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Котлас;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Краснодар(Пашковский);2011;405,1;519,33;606,26;658,33;645,27;731,32;722,73;805,04;889,09;817,66;735,03;742,22;8277,38
Красноселькуп;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Красноярск(Емельяново);2011;756,49;1123,96;995,18;1153,64;1276,44;1345,97;1255,7;1470,47;1419,87;1567,51;1554,32;1633,2;15552,75
Красноярск(Черемшанка);2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Курган;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Курильск(Ясный);2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Курск(Восточный);2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Кызыл;2011;0,36;0,01;0,01;1,83;12,6;9,78;11,93;21,72;18,16;8,43;5,53;4,97;95,33
Лабожское;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Ленск;2011;21,1;19;24;37,3;45,3;33,13;27;34,3;33,69;39,49;42,75;35,1;392,16
Лешуконское;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Липецк;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Магадан(Магадан-13);2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Магадан(Сокол);2011;277;357;463;438;534;573;648;589;613;541;489;564;6086
Магнитогорск;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Майкоп;2011;0;0;0;0;0;0;0;0;0;0;0;0;0
Мама;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Манилы;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Марково;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Махачкала(Уйташ);2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Междуреченский;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Мезень;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Мильково;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Минеральные Воды;2011;93;94;111;158;146;119;125;145;145;150;198;298;1782
Мирный;2011;736,4;921,2;1078,2;1302,3;1033,6;1711,95;982,4;1030;1079,52;1574,52;1927,78;1352;14729,87
Москва(Быково);2011;0;0;0;0;0;0;0;0;0;0;0;0;0
Москва(Внуково);2011;2489,12;2537,26;2919,38;2647;2356,88;2745,13;3361,65;3544,15;4131,42;3589,96;3581,8;3929,37;37833,12
Москва(Домодедово);2011;8337,93;11783,65;13339,73;13999,56;13749,97;14033,69;14057,71;14924,35;14866,94;15428,47;15188,15;16080,11;165790,26
Москва(Остафьево);2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Москва(Шереметьево);2011;18835,8;16887,8;22120,1;20935,6;24262,3;24634,2;25798,4;25052,9;27140,1;27696,2;27440,5;25305;286108,9
Мотыгино;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Мурманск;2011;75,1;89,4;145,8;163,4;94,5;95,5;105,3;102,5;113,8;108,1;119,3;160;1372,7
Мыс Шмидта;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Мыс-Каменный;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Надым;2011;51,12;46,82;49,9;63,82;64,33;63,01;58,99;56,7;53,21;71,89;63,84;67,73;711,36
Назрань(Магас/Слепцовская);2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Нальчик;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Нарьян-Мар;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Нелькан;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Нерюнгри(Чульман);2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Несь;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Нижнеангарск;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Нижневартовск;2011;217,7;297,4;410,1;468,4;434,6;377;279,2;400,9;445,5;530,9;476,2;526,7;4864,6
Нижнекамск(Бегишево);2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Нижнеудинск;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Нижний Новгород(Стригино);2011;32,54;69,3;44,56;58,47;77,62;111,68;92,64;55,21;74,6;89,44;69,52;101,97;877,55
Нижняя Пеша;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Николаевск-на-Амуре;2011;15,94;29,36;54,4;20,77;7,04;4,78;15,92;5,76;3,94;15,83;7,32;12,17;193,23
Никольское;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Новокузнецк;2011;80;88;132;116;93;79;88;124;104;138;98;162;1302
Новосибирск(Северный);2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Новосибирск(Толмачево);2011;1048,3;1247,9;1575,8;1563,4;1709,23;1720,3;1506,5;1718;1763,7;1841,5;2003,3;2215,8;19913,73
Новый Уренгой;2011;121,5;162;173,4;200,1;209,9;192,6;203,2;207,8;199,7;222,7;207,4;263,3;2363,6
Ноглики;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Норильск;2011;996,78;1423,49;1610,04;1881,42;2098,34;1402,42;1128,97;1275,71;1473,73;1599,45;1677,06;2002,31;18569,72
Норильск(Валек);2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Ноябрьск;2011;31,6;42,6;54;57,9;50;52,6;53,1;51,6;60,5;60,5;51;65,1;630,5
Нюрба;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Нягань;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Озерная;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Олекминск;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Оленек;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Ома;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Омолон;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Омск(Центральный);2011;160;198;218;259;242;248;244;284;298;284;287;336;3058
Омсукчан;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Орел(Южный);2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Оренбург(Центральный);2011;55,72;57,79;68,81;67,87;61,62;69,97;74,84;90,3;82,66;77,29;87,06;102,68;896,61
Орск;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Оссора;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Оха;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Охотск;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Палана;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Пахачи;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Певек;2011;29;75;97;153;62;72;124;92;59;75;66;218;1122
Пенза;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Пермь(Бахаревка);2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Пермь(Большое Савино);2011;160,69;139,26;235,4;233,63;203,99;186,95;194,45;181,93;273,17;224,24;198,94;230,52;2463,17
Песчанка(остров Колгуев);2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Петрозаводск(Бесовец);2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Петрозаводск(Пески);2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Петропавловск-Камчатский(Елизово);2011;493,55;599,66;638,02;613,6;556,43;860,36;1356,57;1649,45;1589,87;1099,81;1125,08;976,94;11559,34
Печора;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Пионерный;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Пластун;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Подкаменная Тунгуска;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Полины Осипенко;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Полярный;2011;11,2;13,8;163,9;158;137;133,33;37;23,9;19,21;47,54;26,98;217,3;989,16
Провидения(Провидения Бухта);2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Псков(Кресты);2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Рогачево(Амдерма-2);2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Ростов-на-Дону;2011;228,9;319,8;364,9;330,9;404,4;409,9;448,6;471,8;481,5;371;329,3;513,5;4674,5
Ростов-на-Дону(Платов);2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Сабетта;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Саккырыр;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Салехард;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Самара(Курумоч);2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Самара(Смышляевка);2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Сангар;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Санкт-Петербург(Пулково);2011;1308;1703;2199;2396;2065;1952;2080;2258;2491;2414;2320;2698;25884
Саранск;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Саратов(Центральный);2011;36,7;53,3;46,2;56,2;41,4;53,6;47,3;47,6;57,4;57,8;62,8;58;618,3
Саскылах;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Светлогорск;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Северо-Енисейский;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Северо-Эвенск;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Сеймчан;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Симферополь;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Снопа;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Соболево;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Советская Гавань;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Советский;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Соловки;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Сочи;2011;151;339;255;208;260;268;284;309;309;280;244;279;3186
Среднеколымск;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Ставрополь(Шпаковское);2011;50;58;73;65;59;70;71;69;80;76;85;102;858
Старый Оскол;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Стрежевой;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Сунтар;2011;***;***;***;***;***;***;***;***;***;***;***;***;***
Сургут;2011;209,7;285,6;341,8;347,9;322,7;342,9;361,6;382,9;384,6;379,6;346,8;399,9;4106
Сыктывкар;2011;48;55,5;63,76;60,16;49,15;68,17;87,08;62,51;60,3;63,46;69,51;84,75;772,35
Таганрог(Южный);2011;***;***;***;***;***;***;***;***;***;***;***;***;***
